Course,Professor,Area,Credits,Semester,Keywords,Short,Long,Media,Credit,Media,Credit,Media,Credit
Experiments in Collective Joy,August Luhrs,STUDIES,4,Spring,"critical making,critical thinking,design,live performance,art studio,collaboration,interactive,theater","This hands-on project studio course is about making art where participants are the medium, and the masterpiece created exists inside and between them. Using any medium but an underlying framework of iterative game design, students playtest original work that explores Joy as a transformative emotion across several spheres of life. ","How do ants or bees organize on a mass scale when their individual brains are incapable of understanding the bigger systems they’re creating together? How did a Twitch hive-mind of 1.2 million people beat Pokémon one collective move at a time? How do we make art that makes us and our audience feel more connected, more alive, more powerful? This hands-on project studio course is about making art where participants are the medium, and the masterpiece created exists inside and between them. Let’s explore community and its connection to transformational, radical joy — not complacent happiness, but a joy that is the feeling of power, agency, and capacity growing within us and within the people around us as we cooperate to overcome shared challenges. Which systems and forms of art, play, and expression foster that kind of joy? 

This course is heavy on imagination, vulnerability, reading, discussion, experimentation, playtesting, and interactive group activities. Each week explores the relationship of the individual to the group under various lenses and spheres of life (i.e. politics, religion, activism, evolutionary biology, sociology, pleasure, the universe, sports, games, childhood, etc.). Then together, we break down the relationships, dynamics, and effects those systems have, and create multi-media prototypes and performance experiments inspired by these themes and ideas. The early assignments are solo, and then almost all assignments are in groups. The core process of the class uses iterative game design as a structure for ideating, creating, playtesting, and refining, though students are welcome to work in any medium they choose, so long as the goal is to explore themes of collective joy.",https://drive.google.com/open?id=1e1n_F_ZbFPuypI8mGtkFVjVbn9pDsTHs,Jaesung Park,,,,
Final Cohort Experience,,SOUL,UNKNOWN,Spring,,Where the seniors shape the future of Collaborative Arts.,"(OLD) CA Capstone is an opportunity for graduating students to produce original interdisciplinary works of art that allow them to reflect and expand on their practice, skills, knowledge and insights they have gathered during their time at Collaborative Arts. While the works can take any form, we encourage collaborative projects and expect a collaborative process. Students as a group will be responsible for curating a final group show that brings all their work together into a cohesive narrative and engaging community experience. Throughout the semester students will compose and give feedback to each other’s individual artist statements and project “maps”, produce a curatorial statement, press-release, and invitation for the show. Works in the show should reflect the artist's playfulness, experimentation, curiosity, openness, originality and mastery of the tools employed. Agility in reason, intellectual rigor, attention to detail, contextualization, references and documentation - as well as final presentation - will all be important aspects of how the work will be assessed and evaluated. The class will be a combination of in-class workshops, review of weekly assignments, critique of work in progress, guest lectures, 1-on-1 sessions, and art outings. ",,,,,,
Fundamentals of Documentary Filmmaking II,Rebecca Haimowitz,IMAGE,4,Spring,,,"“Documenting Discovery” is an intensive 14 week course combining lectures and creative workshops to fully explore documentary film production. Students will learn advanced non-fiction filmmaking techniques, including interviewing subjects, capturing visuals from real life and documentary storytelling. Over the course of the semester, students will hone their filmmaking skills through a series of exercises, leading up to a final project that focuses on a single subject. Focusing on both content and form, student filmmakers will choose a subject to research, interview and develop a documentary film with a clear narrative arc. Students can choose to focus on a friend or family member, or else they can choose from a pool of suggested subjects to document their process of artistic discovery.",,,,,,
Fundamentals of Filmmaking II: Narrative Film,Bill Tunnicliffe,IMAGE,4,Fall/Spring,"acting,design,film/video,visual art,writing,directing","Diving deep into all aspects of narrative filmmaking, students write scripts, previsualize storyboards, design sets, and work with actors as they direct and produce their own 5-7 minute films. Students also work together in 4 person crews, taking turns functioning on each other’s films as assistant directors, sound recordists, and cinematographers.","FUNDAMENTALS OF FILMMAKING II: NARRATIVE FILM is an intensive production workshop for fiction filmmaking. Students write, direct, and produce one short, 5-7 minute, film. The course builds upon the visual storytelling tools learned in the prerequisite courses, Fundamentals of Filmmaking I, or Cinematic Narratives. Students will strengthen their skills in screenwriting, cinematography, aesthetics, and editing to further develop their personal filmmaking style. Students can choose to create a traditional narrative film with dialog, or they can choose alternative types of performance and filmmaking that create narrative style flow in different ways. Students must have a rough draft script, or one page treatment, ready by the first day of classes as writing and rewriting work begins in week one. Each student writes and directs their own film, and then they serve as crew members for their classmates when they direct their films.
Students can also choose to break the constraints of the traditional solo director/auteur theory, and choose to co-direct and Co-Create their film with a partner. Students with more experience in acting or performing can partner with other students who have more experience with writing, directing, or cinematography - and they can explore the opportunities within the emerging trend of Co-Creative filmmaking.
Students are guided by their Professor, and a Production Advisor, through all the production logistics that are necessary for successful filmmaking - including casting, art direction, props, locations, schedules, call times, insurance, equipment, wardrobe, effects, editing and more. During Morning Sessions, all work is discussed in class, and creative feedback is an essential component of the course. For the first third of the semester, Afternoon Sessions provide technical training on professional level videocameras, audio gear, lighting, and editing software. After the tech training period, Afternoon Sessions are reserved as optional practice sessions and/or filming periods. Midway through the semester, the final production period occurs over four consecutive weeks, and weekend work is required during this production period.",https://drive.google.com/open?id=1eSY70YASlEkOdyIzGZ2ztqFi022UMV3N,SEAMLESS LOVE by Danielle Orbach,,,,
Green World: Sustainable Studio Practices,Deville Cohen,VISUAL ART,UNKNOWN,Fall,,,"This studio sculpture class is a combination of hands-on experimentation in the classroom and a series of site visits to facilities in the metropolitan area to conduct research and to find inspiration for the development of new artist practices. All art production has an environmental impact. To develop sustainable studio practices, artists must familiarize themselves with the consequences of material choices and processes, such as their carbon footprint, supply chain, environmental justice issues, land use, water footprint, toxicity, and end-of-life management. Workshops in the classroom include experiments with mycelium, bioplastics, vegan adhesives, and nontoxic paints as alternatives to commercially available products. To understand the links between the fast demands of disposable culture and its effect on biodiversity, exhaustion of natural resources, and climate change, we will visit a recycling facility, an oyster reef, and a rooftop farm to learn about environmental projects and initiatives on a city scale. For class projects, students will invest their creativity to do more with less impact by reusing, repurposing, and recycling the city's abundance and waste. These projects will highlight the resourcefulness of artists’ imagination to invent new solutions in the studio and communicate to audiences the urgency of the paradigm shift needed to tackle the challenges of the climate crisis.",,,,,,
Handmade Music,Ithai Benjamin,SOUND,4,UNKNOWN,,,"Design, build, practice, perform, record, recycle, repeat. In this fabrication-heavy course, students will create new musical instruments and toys that can be performed and manipulated by humans, machines, animals and the supernatural. We will experiment with shapes, materials, and analog/digital technologies to create new instruments that defy common sense, yet are visually beautiful and sonically adventurous. Our main sources of inspiration will be the industrial revolution, punk subculture, soap operas, cartoons, Fluxus, the universe, and New York City. Our goal will be to devise musical instruments that can be mastered but also played without skill or music education. We will learn how to utilize various building tools and techniques such as 3D modelling and printing, Shop power tools and laser cutting. In each weekly iteration, students will compose, record and perform original music with their instruments, sometimes as an ensemble. The semester will end with an exhibition featuring our instruments and sheet music, with a final performance for a live audience.",,,,,,
Hyper Object,Kari Cholnoky,VISUAL ART,4,Fall,"art studio,critical making,critical thinking,fabrication,guest artists,visual art",Hyper Object: examining the ways we assign meaning and value to objects through art. Students make a series of sculptures based on prompts and showcase their final pieces to the department at the end of the semester. ,"The object, in reality, is anything but inert - it is hyperactive, changing in function and meaning as it moves in time and space. This studio-based course will give students the tools to use objects and materials specifically and deliberately in their work. The course will link intuitive making with research, allowing students to investigate their genuine and unique interests and develop their conceptual goals. During the course of the semester, students will be exposed to a wide range of non-traditional objects and materials that have been employed by artists throughout history. Readings and viewings will supplement the work done in the studio, with four themed sections serving as guided warm ups for a final project of the students’ own direction. These sections are titled: The Other, The Icon, The Minuscule, The Massive. Each student will make a work based on each theme, and group critiques will function as a laboratory in which students can test theories on display, context, form and legibility. This course is best suited to those with an interest in nontraditional art materials, collage, and found objects. Prior experience in sculpture or painting will be particularly helpful, however, it is not required.",https://drive.google.com/open?id=1g7CJGJ5kgzRT82aM0yJJiKplxN-NvX_-,Beau Glazier,,,,
Hyperreal Spectacle in Interactive Performance,Kate Fisher,MOVEMENT,4,Spring,"critical making,design,electronics,film/video,live performance,movement,interactive,critical thinking","Explore the intersection of hyperreality and performance, where students craft immersive experiences blending choreography, technology, and mixed realities to redefine boundaries in contemporary performance art, blurring the lines between reality and simulation.","French philosopher Jean Baudrillard proposes the concept of hyperreality as the condition in which human consciousness struggles to discern between actual reality and simulations of reality, particularly within societies that are deeply influenced by advanced technology. In the 21st century, hyperreality has become ubiquitous in mediated life, as society becomes more intertwined with social media, virtual and digital environments, and performance spaces. In this course students will engage in the aesthetics and theories of hyperreality in order to create a performative happening that reflects on the embodied experience of contemporary life. Through collaborative research, students will integrate choreography, improvisation, technology, and visual elements to craft an immersive experience that collapses boundaries between performers and audiences. Students will be encouraged to explore experimental compositional strategies where communication unfolds across screens, through bodies, and within designed environments by employing digital performance and mixed reality techniques. Potential tools and techniques which may be utilized include artistry in real time technology, live streaming in performance, motion capture, machine learning, TouchDesigner and wearable technology. This class will include critical discussions and hands-on workshops during which students will refine their artistic vision. Participants are invited to devise an interdisciplinary performance practice in order to bring their installations into being. By engaging in this course, students will gain practical experience in creating and producing interactive installations activated by performance, aiming to create transformative projects where reality and the contemporary imagination converge.",https://drive.google.com/open?id=1R0KzxkzE8DlMooi-7Hy_AupBGiRbWcrP,"Harry MacInnis, studio process photo",,,,
Iconic Dances,Manou Phuon,MOVEMENT,4,Fall,"guest artists,live nyc,live performance","In ""Iconic Dances,"" students explore the works of master choreographers, focusing on technique, structure, style and historical/conceptual contexts of the works. The repertoire ranges from 19th-century romantic ballet to twenty-first century contemporary works. The final is a performance event open to the public.  ","This course is a laboratory for students interested in exploring the works of master choreographers, exposing them to an in-depth study of choreography by focusing on the steps, rhythm, structure, style and historical/conceptual contexts of iconic choreographic works ranging from 19th-century romantic ballet to contemporary work. This exploration will be accomplished physically: students will learn dance excerpts with attention to the physical details of steps, style and phrasing, allowing them to acclimate their own bodies to the universe of specific choreographies. Students will be able to execute these choreographic works while developing a deeper understanding for the choreographers’ creative process and artistic decisions, inviting them to physically experience major artistic shifts in19th- and 20th-century dance aesthetics as they immerse themselves in the process of choreographic reconstruction.  From classical ballet’s ideals of beauty, to the uses of narrative and the social/political/religious function of classicism, and finally through to the deconstruction of dance tradition in postmodern performances, this course exposes students to dance’s living archive while encouraging them to develop a critical perspective on the art of dance, its historical impact and future directions. Each session will be devoted to the recreation of seminal works from a variety of styles—Cambodian dance, Ballet, modern dance, postmodern dance, etc. Beginning with a twenty-minute warm-up based on a physical technique tailored to each specific style (whether a simple ballet warm-up, basic Horton technique, Pilate’s based exercises, etc.), physical technique will be complemented with readings, viewings and discussion that focus on each historical work. All readings and viewings will be uploaded to create easy access for students. For midterm, students will perform one of the works already covered. For the final project, students will choose a favorite work covered over the semester and develop—in dialogue with the instructor—a solo, duet or a small group piece based on this work. For two weeks preceding these projects, students will build a compositional method based on the creative process of their chosen work. Details and guidelines about the final project will be discussed individually with the instructor. In addition, students will write a three-page paper on their chosen work due on the penultimate week, with guidelines distributed at the beginning of the semester.",https://drive.google.com/open?id=1jP7uoVWcYPl1k344xkfGE92aYHZN3ddw,"Bows following the final presentation, Fall 2023.",,,,
Improvising Sound and Music,Gustavo Aguilar,SOUND,4,Spring,"critical making,critical thinking,live performance,music/sound","This course is about successfully illuminating some of the formal, contextual, cultural, and social dimensions of experimental performance and creativity vis-à-vis the critical study/practice of improvising. We will construct this course together as an ensemble; an open, unpretentious, and wholly democratic approach will carry us into our 14-week experimentation.","This course is about successfully illuminating some of the formal, contextual, cultural, and social dimensions of Experimental performance vis-à-vis the critical study/practice of improvising. Because the professor believes that improvisation presents itself as a non-hierarchical (ideally), process-oriented practice, that claims no victories and is rooted in a listening self, the class will construct this course together as an ensemble; an open, unpretentious and wholly democratic approach will carry us into our 15-week experimentation.
",https://drive.google.com/open?id=1GbcVmwXqWrciYLxVlo5DKI_F7Bd37gAt,"Saoirse Sowell Final Score - Create your own sound/music score for the collective to perform. The score should be for a 5min to 6min collective improvisation. One can use any of systems for collective improvisation such as graphic scores and other unconventional notation systems, instruction-based scores, aleatoric and open-form music, pattern-based minimalist structures, and multi-meter rhythm structures, etc. to base our improvisations or one can design their own.",,,,
Intermediate Screenwriting,Alana Sanko or Charlie Schulman,WRITING,3,Fall/Spring,,,"A continuation of the training presented in Fundamentals of Developing the Screenplay. Required work in the class includes extensive scene work. Guided by their screenwriting instructor, students will complete the screenplay begun in Fundamentals of Developing the Screenplay and then do a rewrite or they may begin, complete, and rewrite a new full-length screenplay. The focus in this class will be on story structure and development and the completion of a full-length screenplay. If you plan to do a new work, you must come to the first class with three ideas for full-length screenplays. Each idea can be described in one or two paragraphs.",,,,,,
IRL/URL: Performing Hybrid Systems,Tiri Kananuruk,TECHNOLOGY,4,Spring,"coding,critical making,live performance,music/sound,collaboration","#   ""IRL/URL_Performing Hybrid Systems"": This course is a unique collaboration between the Collaborative Arts and IMA Tisch departments, and CultureHub based at La Mama. We will learn how to create hybrid performance system between in-person and online using video, lighting, sound, and cueing systems. We will also learn creative coding fundamentals using P5.js, Socket.io, and Node.js. This class modeled as an intensive on methods of collaboration, students will work together in groups of 4 to produce new performance work to be presented to an invited in person and online audience.","This course is a unique collaboration between the Collaborative Arts and IMA Tisch departments, and CultureHub based at La Mama. During the pandemic many performing artists moved their work online, leading to an increasing acceptance of experimental practices that their predecessors developed in online work for the past 30 years. In IRL/URL_Performing Hybrid Systems, students will have the opportunity to design, prototype, and present collaborative projects that build on this tradition, blending both physical and virtual elements. Over the course of the semester, students will have the opportunity to study at La MaMa's CultureHub studio where they will be introduced to video, lighting, sound, and cueing systems. In addition, students will learn creative coding fundamentals allowing them to network multiple softwares and devices generating real-time feedback systems. The class will culminate with a final showing that will be presented online and broadcast from the CultureHub studio.",https://drive.google.com/open?id=1jSUtBD5AlxG2KRG0_WDYKmeHDvZ2msBE,Photo from class at CultureHub - Teaching artist DeAndra Anthony,,,,
Jam House,Guest Artist and Ithai Benjamin,SOUL,0,Fall/Spring,,,"Conducted every semester, Jam House is a 2-day intensive offered for credit to all Collaborative Arts Majors. Students assemble to brainstorm unique experiential and collaborative works culminating in final presentations, projects and performances. Designed to function as a platform for experimentation and play, the workshop allows students to test ideas in an open, supportive yet critical environment with an emphasis on interdisciplinary art and a focused attention to the creative process. Every workshop begins with a visiting guest artist presenting their work, followed by Q&A and discussions. Students then form groups and create a collaborative work in any medium (or many) inspired or loosely informed by the ideas or themes presented by the artist.",,,,,,
Knowledge Systems: The Poetic and The Algorithmic,Despina Papadopoulos,STUDIES,4,Spring,"art studio,critical making,critical thinking,fabrication,live nyc,research","Knowledge Systems: The Poetic and the Algorithmic introduces students to a series of critical texts and art practices and invites them to adopt a similarly critical approach to their own work. The course examines non-dualistic thought and the role of emotion, the sensual and performativity in the making of the world and art and invites students to develop experimental work in direct response to the texts.","Knowledge Systems: The Poetic and the Algorithmic introduces students to a series of critical texts and art practices and invites them to adopt a similarly critical approach to their own work. With texts ranging from 1st century BCE to today, the course through weekly prompts, in class discussion and a deep reading, examines non-dualistic thought and the role of emotion, the sensual and performativity in the making of the world and art. Instances of such non-dualistic thought in art, science, philosophy, and craft are looked at as a way to question established knowledge systems and propose new futures. Non-dualistic thought is approached here as a way to escape established binaries and create a space that goes beyond good/bad, right/wrong and instead invites multiplicity and a wide range of perspectives and voices. Starting with Mallarmé’s seminal poem, “A Throw of the Dice Will Never Abolish Chance,” and concluding with Muñoz’s essay “Feeling Utopia” from his book Cruising Utopia, where he opens with Oscar Wilde’s quote: “a map of the world that does not include utopia is not worth glancing at,” the course challenges students to “feel hope and to feel utopia” as a form of resistance to established dystopian narratives. In particular the course approaches artificial intelligence as a non-plural contemporary knowledge system and asks students to reflect on the world view that technical systems establish. Following such reflections, the course urges students to explore ways to counter monolithic systems by engaging with uncertainty, the poetic and embodied interactions.",https://drive.google.com/open?id=1QaKYUtTTt4-kt_UYuDyLW4YRV9fJce-N,Max Cook,,,,
Live in New York City,Steven Drukman,STUDIES,4,Fall,"critical thinking,live nyc,live performance,theater","This class will provide a partial survey of the 2023-24 theatre season in New York as we examine the variations of Stanislavski-based psychological realism in American drama from the early 20th century to the present. How do the plays and productions we are seeing fit into the mode known as psychological realism? How do they collide, or differ? students will see lots of plays both on and off Broadway, and  maybe even off off Bway. They write a paper and they prepare a panel presentation ","We will explore the tension between the live and the scripted, the performed and the texted--almost entirely in the field of theatre but also in some other genres of performed events. A series of productions will be carefully curated to see different artists' renderings of these two aspects of the live event, and we will sustain an interest in other dualities, including the tension between the virtual and the real, the rehearsed and the improvised, etc.",https://drive.google.com/open?id=1ghOuvQgl_X9Eh2BCPxEmDxb967dDyVCV,no clue,,,,
Making a Scene (Playwriting),Steven Drukman,CORE,UNKNOWN,,"theater,writing","This half-semester course will arm you with the fundamental techniques of building a scene FOR THE STAGE while giving you a glimpse of how playwrights think about their discipline. Class discussions and analyses will revolve around the question of what “works” on stage (and often more important, what doesn’t). Students will be exposed to integral components of the drama, such as dialogue, character and plot, with emphases on employing ACTION, CONFLICT and EVENT. We will also gain a preliminary understanding of how to raise stakes for our dramatic characters. Occasional readings of published plays and, when possible, viewings of films will enhance our understanding.","This hands-on practicum teaches students the basic parameters of story structure and dramatic writing for live performance. We will examine various conventions of dramatic storytelling for the stage, such as dialogue, character, delivering exposition, etc. Class lectures will discuss the components of a drama, and class exercises will help students generate material for a 2-person ""realistic"" live scene, lasting approximately 5-10 minutes of stage time. Students will also learn how to give and receive critiques. This live scene can be either “stand-alone” or part of a larger multi-disciplinary art project for later work in a student’s career at Collaborative Arts.",,,,,,
Making a Scene (Screenwriting),Deborah Goodwin and Alana Sanko,CORE,UNKNOWN,,"critical thinking,writing,film/video,critical making,collaboration","Foundational knowledge in the craft of storytelling for the screen, students will develop as short screenplay or proof of concept for a feature length script.","This hands-on practicum teaches students the basic parameters of story structure and dramatic writing for a short film. We will examine various conventions of screenplay storytelling such as format, structure, plot, character development, visualization and film language. Class lectures will discuss basic components of the screenplay, with reading and writing assignments helping to generate a scene lasting approximately 5-10 minutes of screen time. Students will also learn how to give and receive critiques. This short film can be either “stand-alone” or part of a larger multi-disciplinary art project for later work in a student’s career at Collaborative Arts.",https://drive.google.com/open?id=1CW7VI2LtottUuo8PYQSPrJkPuYlQ4ea8,Class Selfie taken by Max Newman upon completing final assignments.,,,,
Modern Dance II: Mind-Body Integration,Kate Fisher,MOVEMENT,2,Fall,"live performance,theater,movement","This Level 2 Modern Dance technique course advances the mind-body connection through physical training, emphasizing exploration, expression, and improvisation in contemporary forms. Classes blend technical exercises, set choreography, and improvisational practices to enhance movement with intention and artistry. Encouraging personal movement exploration, the curriculum covers floor work, traveling, and turning, focusing on self-awareness and the creative process.","This course is a level II in dance practice designed for a student with an intermediate level of familiarity and experience with Modern dance. It further improves on the physical training offered in Modern Dance I, but is not predicated on previous enrollment in that class. The class focuses on the physical articulation of various movement vocabularies, collaborative exploration of partnering, and ongoing in-class discussion to deepen the connection of self-awareness through learning and executing movement. Each class will involve set choreographic material as well as improvisation practice as teaching tools to deeply inform movement training with intention, efficiency and artistry. Students will be encouraged to pay close attention to their own movement learning experience instead of focusing on replicating the movement they learn. Movement material will include floor work, traveling, balancing, jumping, turning and will be shaped by these principles. Previous modern, contemporary or equivalent experience is required.",https://drive.google.com/open?id=1ntR4v-miHUUNZL8oyPoFJyD0kmheeIjc,"Yvonne Rainer, ""Parts of Some Sextets"", 1965",,,,
Multi-disciplinary Arts Practice with Community Groups,Mary Bitel,STUDIES,4,Fall/Spring,"critical thinking,guest artists,research,collaboration","Multi-Disciplinary Arts Practice with Community Groups explores the challenges and benefits of making artistic work with others and the tools needed to create meaningful collaborative, arts-based projects. Students will gain a foundation for building meaningful collaborative work in a variety of community settings and professional creative work environments. ","Whether you are a filmmaker looking to better understand how to build a cohesive and productive film crew; a theatre maker excited about building a performance project or theatre company; a multi-media artist looking for ways to innovate your ideas for artistic work in collaboration with others; an artist looking for tools for building an artistic ensemble, or a multi-disciplinary artist looking to take your creative work out into communities as social practice, this combination lecture/activity-based class provides you with tools for better understanding how to enter into and engage others in collective creative work of purpose.
Multi-Disciplinary Arts Practice with Community Groups: Theories and Practice explores the challenges and benefits of making artistic work with others and the tools needed to create meaningful collaborative projects. In this class we interrogate definitions of community and group, explore the balance between group process and producing an artistically excellent project, and examine the processes of creating artistic work with others to strengthen our own artistic voices while helping raise the creative voices of others. With its focus on social practice, this course provides a foundation for working with small group structures in a variety of community settings and professional creative work environments. The course satisfies a CA major requirement as well as a social science requirement for all other Tisch students.",https://drive.google.com/open?id=1Nb2GmknqTb82VVCvsiGZTF60Z2xnbf_X,Mary Bitel,,,,
Music for Media,Ithai Benjamin,CORE,UNKNOWN,Spring,,,"This course is designed to introduce students to the fundamentals of music production and sound engineering in support of the Collaborative Arts interdisciplinary core curriculum. Using Abelton Live, students will be introduced to songwriting, song form and analysis, chord structure, sound design, rhythm, audio/MIDI editing, and mixing techniques. Throughout the semester students will collaborate on projects and in-class assignments by composing and performing music for a variety of mediums and applications.",,,,,,
Music Studio Machines,Ithai Benjamin,SOUND,2,UNKNOWN,,,,,,,,,
Musical Theatre Writing Workshop,Kirsten Childs and Joel Derfner,SOUND,4,Fall/Spring,,,"This is a team-taught workshop that encourages you to find your own voice and learn to merge your unique artistic vision with those of other collaborative artists to create exciting new musical theater. The course will start by covering the basics of songwriting for the theater, but it is not a music theory class; we’ll be focusing more on using music to tell stories than on compositional techniques. Together we’ll examine theater songwriting craft, issues of communication between artists of different disciplines, and storytelling through music and text. Poets, playwrights, and writers from other genres, and composers from a wide variety of stylistic backgrounds ranging from pop to classical, country to hip-hop, rap to jazz to fusion—all are welcome to participate, regardless of experience or lack thereof. We aim to create a supportive environment in which you feel free to experiment and to explore both what musical theater has been and what it can become. Note: most of your homework will be done in collaboration with one or more of your classmates, so expect to spend a significant amount of time working with others.",,,,,,
New Video Dimensions,Bill Tunnicliffe,IMAGE,4,Spring,"acting,design,film/video,live performance,directing,collaboration,writing","The role of the video-maker as a collaborative partner is explored as students write, produce, perform, direct, and edit fully polished video which supports and enhances a proposed interdisciplinary project. A variety of interdisciplinary art forms are explored - including installations, immersive environments, interactive art, theatrical performance, and promotional media. Students can also collaborate as Co-creators for stand-alone internet media and short films. ","This course was previously titled Making Webisodes, and cannot be repeated.
New Video Dimensions is a video production workshop where students conceive, produce, perform, direct and edit fully polished video media for a variety of interdisciplinary art forms - from immersive VR to interactive performance art, from movement-based performance to media guided participatory theater, to stand alone internet media and short films. Video is an integral part of many artistic disciplines and this class explores ways to reimagine conventional video production and harness the visceral impact of video within a wide range of unique interdisciplinary mediums. Each student pitches and chooses an interdisciplinary project they plan to create. They then team up with another student who will work with them to create video that will support that project. Emphasis is given to ways in which personal visual inspiration, as opposed to artistic imitation, can create innovative new forms of video art. Students will alternate roles as interdisciplinary artists and as video collaborators, so that each student creates a final video for a proposed interdisciplinary project. Students can also choose to work together within both roles for a single project, or stand alone video piece. All aspects of video production will be explored, including writing, choreography, acting, art direction, cinematography, music, editing, and more. The role of the video-maker will be explored as a collaborative partner with other interdisciplinary artists. Students use a variety of cameras & audio gear as they build upon the technical skills they learned in previous filmmaking courses. For the final projects, each proposed interdisciplinary project will be detailed in a powerpoint presentation, and the completed videos for those projects will be screened along with those presentations. Students are required to have taken one introductory video class with synchronous sound, or special permission can be given by the Professor on a case by case basis.",https://drive.google.com/open?id=1j3HhVsuc3ZVLYWTFyUJmLJZUNgrkZQ0R,40 DAYS OF ME - Lenay Demetrious,,,,
Occupy Outer Space,,TECHNOLOGY,4,UNKNOWN,,,"Technology is a weasel. Squeezing its way into art, culture and the everyday. It infiltrates our psyche, inspiring playful interactions, fantastical ideas, vengeance and drama. It brings us together while tearing us apart. In this project-based studio, we will focus on a collective approach to creating art, tools, performances, and experiences. Outer Space in the context of this course will be used as a metaphor for the future, the unknown, and the seemingly impossible. We will investigate disparate cultural moments and unravel narratives that are both historical and technological. Technology will serve as a structure with open-ended assignments in music, video, sculpture, electronics, kineticism, surveillance, interactive graphics, and performance. Combined collaborative exercises and individual projects will augment classroom discussions and inform the art that we make. A willingness to use your imagination and personal experience to derail preconceived notions of linear timelines will serve you well in this hands-on multidisciplinary course.",,,,,,
Performance: Body / Movement,Pat Hoffbauer and Kate Fisher,CORE,UNKNOWN,UNKNOWN,"critical making,live nyc,live performance,theater,movement,collaboration","This course adopts a laboratory-based approach to explore dance and performance, drawing from Modern, Experimental, Jazz Dance, Yoga, and Contemporary Forms, structured across two seven-week sessions with distinct instructors. The curriculum emphasizes learning, execution, improvisation, and composition of movement, offering varied approaches in each session. It culminates in three presentations: an interdisciplinary artist showcase, a midterm, and a final showing, allowing students to exhibit their growth and creativity.","In this section of the Performance Practices set, students will address explorations of space and time, presence, working with objects, composition and various improvisational structures. During the semester students and performance faculty will work with ideas from artists who have significantly informed the development of 20th century and early 21st century performance practices. For the first half the semester, students focus solely on body and movement, while in the second half of the semester students engage in co-taught sessions that blend text and movement to discover and deepen the connection between the body, the voice, text and imagination.",https://drive.google.com/open?id=1kBel5hq6wVVmDC58VwXsPXTdQm1jkK14,"Miguel Gutierrez’s Cela nous concerne tous (This concerns all of us), a commission for Ballet de Lorraine. Photo by Yi Zhao.",,,,
Performance: Voice / Text,Fritz Ertl,CORE,UNKNOWN,UNKNOWN,"acting,live nyc,live performance,theater","Performance: Voice /Text is an introduction to the basic skills of performance.  Using a variety of exercises and improvisational structures, we explore the importance of spontaneity, emotion, and action as the cornerstones of acting.  Final month is spent working on a text, which is open to the public.  ","In this section of the Performance Practices set, students will address explorations of space and time, presence, working with objects, composition and various improvisational structures. During the semester students and performance faculty will work with ideas from artists who have significantly informed the development of 20th century and early 21st century performance practices. For the first half the semester, students focus solely on body and movement, while in the second half of the semester students engage in co-taught sessions that blend text and movement to discover and deepen the connection between the body, the voice, text and imagination.",https://drive.google.com/open?id=1dSfXRzsqsfAmgFBN3h4VXVenOi4or0Ox,Fritz Ertl,,,,
Performing Anatomy: Body Technology,Jonathan Gonzalez,MOVEMENT,4,Spring,"critical making,design,live performance,film/video,music/sound,movement","Experimenting with the human anatomy as a bio-mechanical, cultural, environmental, and relational technology, students create embodied, multidisciplinary projects. The final is a presentation open to the public.","In Performing Anatomy: Body Technology, students will experiment with human anatomy as technology. We will begin this process by practicing movement phrases that survey the design of our anatomy. In this case, anatomical design refers to the muscular, skeletal, and proprioceptive systems that stabilize us. We will then build onto this knowledge through investigations in biomechanics like motion, force, momentum, and balance. Our physical practice in the studio will be supplemented by reviewing images, texts, sound and video as reference material. Students will periodically produce short studies across forms of media wherein they are tasked to translate the anatomical information learned into original compositions. These multidisciplinary studies finalize each module and are presented in a final performance.",,,,,,
Performing Voice and Talking Machines,Tiri Kananuruk,TECHNOLOGY,4,UNKNOWN,"coding,critical making,live performance,music/sound,theater","“Performing Voice and Talking Machines”: Using P5.js (Javascript) for creative coding in speech synthesis and speech recognition from the viewpoint of performance art. Students will explore how to create voice and spoken word performances, installations, digital poetics, or tools combining the human vocals with programming techniques.","This course will introduce students to technologies for speech synthesis and speech recognition from the point of view of performance art. Through weekly assignments and in class lectures, we will explore voice interfaces and their role in technology, design, art, and culture. We will begin with understanding human speech, and then delve into computer speech. We will learn how to program existing technologies such as p5.js to create our own talking machines. The class will research the current limitations and biases of these technologies and models, and respond by leveraging these constraints as ground for performative expression. Students will be required to develop a performative piece as their final project, this could be a live performance, an interactive installation piece, or a performative object or tool. Students are encouraged to bring their interests into the classroom and apply the course into their practice. Prior knowledge of computer programming will be helpful, however, it is not required. NYU is a global community. You are welcome to bring your own language, your accent, and your spoken identity into the class.",https://drive.google.com/open?id=1oU5sj1ceyfOdHq2qSAtlqLLg2xlExTmP,Work by Kiri Tian,,,,
